"place.country","n"
NA,64160
"United States",994
"Canada",81
"Malaysia",67
"Republic of the Philippines",53
"",36
"Thailand",32
"日本",32
"Brasil",30
"United Kingdom",20
"Indonesia",16
"México",15
"Japan",14
"ประเทศไทย",12
"Peru",10
"Argentina",8
"France",8
"Brazil",6
"Kuwait",6
"Mexico",6
"Türkiye",6
"대한민국",5
"The Netherlands",5
"Chile",4
"Ireland",4
"Australia",3
"Colombia",3
"Italia",3
"Singapore",3
"United Arab Emirates",3
"Estados Unidos",2
"Etats-Unis",2
"India",2
"Nederland",2
"Poland",2
"Portugal",2
"Regno Unito",2
"Tunisie",2
"Turkey",2
"Vereinigte Staaten",2
"الامارات العربية المتحدة",2
"Antigua and Barbuda",1
"Bahrain",1
"België",1
"Belgique",1
"Bermuda",1
"Česká republika",1
"Costa Rica",1
"Czech Republic",1
"Deutschland",1
"Egypt",1
"El Salvador",1
"España",1
"Germania",1
"Indonesië",1
"Kingdom of Saudi Arabia",1
"Nigeria",1
"Norway",1
"People's Republic of China",1
"Republic of Korea",1
"Romania",1
"România",1
"South Africa",1
"Stati Uniti",1
"Trinidad and Tobago",1
"Tsekin tasavalta",1
"Vereinigtes Königreich",1
"Verenigde Staten",1
"المملكة العربية السعودية",1
"سلطنة عمان",1
"Россия",1
"中华人民共和国",1
"香港",1
