"","X","n"
"1","#FrappuccinoHappyHour",11768
"2","#FrappuccinoHappyHour…",2864
"3","#スタバ",1645
"4","#フラペ",1217
"5","#frappuccino",1095
"6","#ICYMI",1011
"7","#starbucks",894
"8","#monday",852
"9","#MondayBlues",851
"10","#mondaymotivation",850
"11","#weekend",740
"12","#saturday",739
"13","#SocialSaturday",739
"14","#SundayMorning",738
"15","#SundayFunday",737
"16","#weekendvibes",736
"17","#tbt",694
"18","#ThankfulTh",693
"19","#ThrowbackThursday",693
"20","#Starbucks",513
"21","#ストロベリークリームフラペチーノ…",340
"22","#coffee",329
"23","#Frappuccino",327
"24","#MidnightMintMocha",197
"25","#love",196
"26","#yummy",175
"27","#latte",165
"28","#tea",161
"29","#BTSBBMAs",143
"30","#DateLoQueTeGusta",143
"31","#gift",137
"32","#FrappuccinoHappyHour!",119
"33","#happyhour",117
"34","#Coupon",103
"35","#HappyHour",84
"36","#frappuccino…",82
"37","#フラペチーノ",67
"38","#starbucks…",65
"39","#charlesmilander",63
"40","#BlinkSelcaDay",61
"41","#SmoresFrappuccino",56
"42","#Cards",54
"43","#Gifts",54
"44","#อร่อยบอกต่อ",52
"45","#food",52
"46","#อร่อยไปเเดก",51
"47","#MyOREOCreation",51
"48","#unicornfrappuccino",50
"49","#StawberryAndCream",49
"50","#strawberry",49
"51","#News",47
"52","#midnightmintmocha",45
"53","#frappyhour",44
"54","#starbuckscoffee",44
"55","#news",42
"56","#Contest",41
"57","#ShowYourFlavor",41
"58","#frappuccinohappyhour",39
"59","#Unicorn",38
"60","#summer",37
"61","#tobeapartner",37
"62","#unicorn",37
"63","#Card",35
"64","#freebies",35
"65","#Gift",35
"66","#midnightmintmochafrappuccino",35
"67","#BuyNow",34
"68","#design",34
"69","#MyOreoCreation",34
"70","#freebie",33
"71","#sketchapp!",33
"72","#ui",33
"73","#ux",33
"74","#smores",30
"75","#contest",29
"76","#drink",29
"77","#mocha",29
"78","#business…",28
"79","#Coupons",27
"80","#BNCafe",26
"81","#CelebrityNews",26
"82","#Coffee",26
"83","#UnicornFrappuccino",26
"84","#Canada",25
"85","#MidnightMintMochaFrappuccino",25
"86","#recipes",25
"87","#UK",25
"88","#USA",25
"89","#World",25
"90","#BuyItNow",24
"91","#cream",24
"92","#delicious",24
"93","#GiftCards",24
"94","#おしゃれな英文",24
"95","#Discount",23
"96","#GiftCard",23
"97","#tanoc",23
"98","#BuyItNow……",22
"99","#frappe",22
"100","#hot",22
"101","#trademark",22
"102","#bncafe",21
"103","#FridayFun",21
"104","#greentea",21
"105","#marketing",21
"106","#recipe",21
"107","#smoresfrappuccino",21
"108","#ParisHilton",20
"109","#Shakira",20
"110","#survivor",20
"111","#Trump",20
"112","#スターバックス",19
"113","#chocolate",19
"114","#love…",18
"115","#nerd",18
"116","#Smores",18
"117","#S'mores!",18
"118","#treatyourself",18
"119","#Bargains",17
"120","#celebrity",17
"121","#yum",17
"122","#รีวิวโคราช",16
"123","#caramel",16
"124","#coffee…",16
"125","#garotasnerds",16
"126","#gossip",16
"127","#halfprice",16
"128","#tech",16
"129","#baristaproblems",15
"130","#cafe",15
"131","#Food",15
"132","#Forsale…",15
"133","#FrappyHour",15
"134","#maggioalcivico39",15
"135","#tea…",15
"136","#yummy…",15
"137","#foodie",14
"138","#paparazzi",14
"139","#Tech",14
"140","#อร่อยไปแดก",13
"141","#23",13
"142","#cooking",13
"143","#drinks",13
"144","#halfoff",13
"145","#happy",13
"146","#lawsuit",13
"147","#Starbucks…",13
"148","#StarbucksHappyHour",13
"149","#อร่อยไปแดก…",12
"150","#baristalife",12
"151","#BBMAs",12
"152","#bitcoin",12
"153","#business",12
"154","#Comida",12
"155","#nyc",12
"156","#อร่อยทำแดก…",11
"157","#AllStarTrek",11
"158","#beauty",11
"159","#coffeetime",11
"160","#cook",11
"161","#Frappuccino.",11
"162","#instagood",11
"163","#smm",11
"164","#dessert",10
"165","#foodporn…",10
"166","#nowplaying",10
"167","#socialmedia",10
