"","retweeted_status.user.screen_name","n"
"1",NA,25020
"2","frappuccino",10999
"3","imtaiki",4038
"4","Starbucks",3743
"5","ViralFreQ",3020
"6","StarbucksMY",1938
"7","entabejp",1555
"8","Home_Halfway",1287
"9","killmefam",731
"10","margariet_dh",675
"11","itspalmm",640
"12","wongnai",524
"13","ItsFoodPorn",488
"14","StarbucksCanada",401
"15","okidkaccutally",358
"16","LaSexyTuitera",345
"17","StarbucksMex",330
"18","Herepaolicious",261
"19","DuckFanAccount",212
"20","samascqua",207
"21","__patra",195
"22","andrewschulz",173
"23","CBSNews",172
"24","daniel_avin",161
"25","TheLifeDiaries",151
"26","RonnieRadke",147
"27","lalobrito",141
"28","IamNaZza",137
"29","enews",117
"30","CardenasMaLWOS",113
"31","Newsweek",112
"32","babaBC",111
"33","hodgetwins",111
"34","wheresale",107
"35","Abbey_Bender",103
"36","ssnowssn",83
"37","ComedyWorIdStar",67
"38","VICE",65
"39","TODAYshow",63
"40","charlesmilander",62
"41","elmundo_curioso",61
"42","Frappuccino2nd",61
"43","boombayaas",59
"44","BNBuzz",56
"45","imari_stuart",54
"46","shouldercamera",50
"47","lanareddy",48
"48","SexyPinkGlitter",48
"49","johnnyorlando",47
"50","RoastMeDaily",46
"51","Trap_Jesus",44
"52","aixnr",41
"53","voguemagazine",41
"54","PRDaily",38
"55","verge",37
"56","",36
"57","GMA",36
"58","StarbucksBrasil",35
"59","SpencerKlautky",34
"60","TMZ",34
"61","dacostacristina",33
"62","KenndalIxJenner",32
"63","KylieJennerxNYC",32
"64","ChanningxTattum",31
"65","KenndaIlxJenner",31
"66","KhloeKardashxan",31
"67","KIMxKARDASHlAN",31
"68","LiIxWayne",31
"69","RIHANNAxBlTCH",31
"70","RihannaxNYC",31
"71","SelenaxGommez",31
"72","seventeen",31
"73","ArianaxGrannde",30
"74","BrunoxMarsNYC",30
"75","CamiIaxCabelIo",30
"76","fullress",30
"77","JCoIexNC",30
"78","madlymadden",30
"79","MILAxKUNlS",30
"80","NICKI_MINNAJ",30
"81","turnthepge",30
"82","UberFacts",29
"83","Cosmopolitan",27
"84","commelui",26
"85","daniiiiteeee",26
"86","FrutillaPicante",25
"87","JackPosobiec",25
"88","NEVERMIND_XXO",25
"89","veronicamerrell",25
"90","anngyPimberry",23
"91","TIME",23
"92","BJ_Watson12",22
"93","Gothamcityesq",22
"94","LucasCruikshank",22
"95","TNJoseph917",22
"96","tpazolite",22
"97","Ashiisaurus",21
"98","Benwhoah",21
"99","danieltobin",21
"100","awkwardphilippe",20
"101","DailyMemeSuppIy",20
"102","HonestToddler",20
"103","retailwire",20
"104","Inc",19
"105","mochiipanko",19
"106","nikinsammy",19
"107","RexTilllerson",19
"108","phoenixwuff",18
"109","seowonarchive",18
