"","user.screen_name","n"
"1","cookingscarlet",208
"2","srnorganics1",201
"3","Starbucks",155
"4","Cafezanmai",138
"5","GiftCard_Coupon",134
"6","yuracuks",124
"7","frappuccino",117
"8","Bid_Work",56
"9","love_starbucksJ",51
"10","redpotterfrah",42
"11","eggxte",37
"12","MillarMatthews",30
"13","bluerangerrose",29
"14","",23
"15","5sosraps",22
"16","BaristaJill",21
"17","secretmenubot",20
"18","GADISmagz",18
"19","hellaeileen",18
"20","idiotbicht",18
"21","coffeecookibot",17
"22","JCoIexNC",17
"23","limamanda01",17
"24","senda_fhilippin",17
"25","simpleethrifty",17
"26","StarbucksMY",17
"27","AriannaxGrande_",16
"28","August_AIsinna",16
"29","BeyonceO_o",16
"30","BeyonceXO_XO",16
"31","BFFgoal",16
"32","BlacxChynaa",16
"33","BrunoMars_NYC",16
"34","CamilaxCabelIo",16
"35","ChrisxBrownn",16
"36","DrakexNYC",16
"37","greyjedishaz",16
"38","iamchelsey_",16
"39","IggyAzzaleaO_o",16
"40","iRealFrankOcean",16
"41","ItsReaITyga",16
"42","jirachiharuka",16
"43","JustinBieberQLD",16
"44","KendrickLamarNC",16
"45","KenndaIlJenner",16
"46","KenndalIJenner",16
"47","KhIoexKardash",16
"48","KlMxKARDASHIAN",16
"49","KyIieJenner_NYC",16
"50","LilWayne0_o",16
"51","luismorrisluis1",16
"52","MacxMiller_",16
"53","NICKIMINAJo_0",16
"54","NICKl_MlNNAJ",16
"55","RihanaxBITCH",16
"56","RihannaBlTCH_",16
"57","SeIenaGomezBae",16
"58","Snookielovesme",16
"59","WiseManKhalifa",16
"60","ayamalakchraibi",15
"61","cruisinmommy",15
"62","Favstar_Bot",15
"63","HSoat050713",15
"64","kahvve_",15
"65","MILA_KUNlS",15
"66","AshaaVAFF",14
"67","GADISSchoolZone",14
"68","katalogpromosi",14
"69","BTStarBucks1",13
"70","MyEverydaySavvy",13
"71","Saf_______",13
"72","EnElBreakNews",12
"73","Inbotgo",12
"74","likwan",12
"75","Nella_Bisut",12
"76","the80sfanatic",12
"77","AmorEsTraicion",11
"78","AyQueCursi_",11
"79","bealarisa",11
"80","camilogutic",11
"81","CampanaLBA",11
"82","Comidasporn",11
"83","DebeSerAmor",11
"84","DeckBronce10K",11
"85","FreebiesLand",11
"86","Gabrielpanda5",11
"87","GiinTonico",11
"88","gokuenamorado",11
"89","holswade",11
"90","Inchamuyables",11
"91","iRobert0",11
"92","ishinygirl_",11
"93","itsmamaragu",11
"94","_LaViejaGuardia",11
"95","Lifegoalsgif",11
"96","OneMommaSavingM",11
"97","Riend0And0",11
"98","ronaldig3",11
"99","Rorberoo",11
"100","SargentoAguila",11
"101","SoyRubiu5_",11
"102","buzz_ebooks",10
"103","SoyBajel",10
"104","StarbucksCanada",10
"105","TeshawnEdmonds",10
"106","TheDickChokers",10
"107","TheRealLoai",10
"108","TTStarbuxCups",10
"109","ViralFreQ",10
"110","zulhilmiomar1",10
"111","Bitcoin_Visa",9
"112","BNGenevaCommons",9
"113","BSAFunds",9
"114","Btler_bot",9
"115","BW_React",9
"116","District340",9
"117","EDMN_DealFinder",9
"118","EINStarbucks",9
"119","elisaherrer41",9
"120","evaksz",9
"121","extracrispy",9
"122","garotasnerds",9
"123","kateeyrosewebb",9
"124","KFCDaily",9
"125","Kriss_DPE",9
"126","MRKH_DealFinder",9
"127","SanduskySBUX",9
"128","Shakti_Mich",9
"129","tor_dealfinder",9
"130","Tuiterizado",9
"131","unacajatriste",9
"132","VAN_DealFinder",9
"133","vip_scandals",9
"134","aimanzikri97",8
"135","allfoodmood",8
"136","ayyQueGuapo",8
"137","DiceEinstein",8
"138","Esafrasetipica_",8
"139","EsPoetaCursi",8
"140","FraseAcertada",8
"141","GeekBarista",8
"142","iLocaPorTi",8
"143","ilustrad0",8
"144","iStarBucksFan",8
"145","Joseluys17",8
"146","katieamedure",8
"147","LaCasaDeTweets",8
"148","LivingUnited",8
"149","_lntrusa_",8
"150","mamii_lani",8
"151","MardaStarbucks",8
"152","Mari0Ruiz",8
"153","miglioranto",8
"154","MinionDeLatex",8
"155","nur_fieka",8
"156","Pkemon_Go",8
"157","Precioso_Regalo",8
"158","SashaGreyES",8
"159","SoloSublime",8
"160","techjunkiedeals",8
"161","todostustuits",8
"162","TomCruise_5",8
"163","TrivWorks",8
"164","twinchallenge",8
"165","twistools_en",8
"166","UnTextoDiario",8
"167","UPROXX",8
"168","vghn_dealfinder",8
"169","WINN_DealFinder",8
"170","xboxmankhalil",8
"171","7Gcaligirl",7
"172","AfiqAmin4",7
"173","angelig133",7
"174","BaleighHopkins",7
"175","BINGBINGCELEB",7
"176","BN_Portage",7
"177","careifyoucryyy",7
"178","civico39it",7
"179","c_navs13",7
"180","elecebrity",7
"181","gIitterize",7
"182","hawaii_the_best",7
"183","haziqzulkipli",7
"184","JanosMedyx",7
"185","joshuaxconlee",7
"186","KarloMdz",7
"187","KarlZainal",7
"188","labeebakay",7
"189","LunaTeabot",7
"190","MiguelL47314920",7
"191","mybloqlife",7
"192","mycoffeehits",7
"193","ndThatsAnOldHag",7
"194","Newsweek",7
"195","OAKV_DealFinder",7
"196","Ojikoen_urauchi",7
"197","outofcontroljb",7
"198","QuisieraVelez",7
"199","Ryugaku_kobeuni",7
"200","Souchka",7
"201","Starbucks4635",7
"202","TheBookworm94",7
"203","The_News_DIVA",7
"204","thermomix_bimby",7
"205","UDjunkie4life",7
"206","YESSIELUVSIRENS",7
"207","ZanitaHaley",7
"208","_Alamilla_",6
"209","AlenaUlicne",6
"210","Amander5sos",6
"211","Angel4Life9188",6
"212","anus0254",6
"213","BNHamiltonNJ",6
"214","BNMilford",6
"215","BNNatomas",6
"216","brobro1_",6
"217","CamilaStewartME",6
"218","Caner_DIO",6
"219","capturebizarrre",6
"220","Chip_Chick",6
"221","ChrysoliteStone",6
"222","clasher_gaming",6
"223","CookingNewz",6
"224","daisiesridIey",6
"225","ElOjoSabio",6
"226","Elrapunz",6
"227","Erin511Smith",6
"228","farisdaniaaaal",6
"229","Faveador",6
"230","Ferzna09",6
"231","FreebieFeed",6
"232","Ginkoposts",6
"233","grubstreet",6
"234","Guerrerocxcx",6
"235","HotelShediac",6
"236","iCarlyFan2009",6
"237","icloudhelens",6
"238","iSuperImagenes",6
"239","JoJoVanity",6
"240","jsyecrn",6
"241","ken2158",6
"242","klyshtl",6
"243","Kobebaby1020",6
"244","lisambers",6
"245","luunalovebad",6
"246","lzimmlive",6
"247","MarieRed76",6
"248","MjLive1_23",6
"249","NeopetsTech",6
"250","NVT3__",6
"251","Nybittie",6
"252","Oreo_Vicci",6
"253","POPSUGARFood",6
"254","RetailNewsdaily",6
"255","SbuxArizona",6
"256","Smith1Kaylee",6
"257","SocialBobbie",6
"258","SombraDeAdam",6
"259","stardchiu",6
"260","SWilliamBrown33",6
"261","0jWneUTfNbQutTL",5
"262","1stAvenuePenang",5
"263","929PJH",5
"264","abs43092",5
"265","AddisonStevens2",5
"266","alexiabailey_",5
"267","Bara_no_Seidou",5
"268","BellasBeauty47",5
"269","BINGBING_CKTAIL",5
"270","BOYWONDERELROY",5
"271","C0MMAND3RFA1C0N",5
"272","CBSNews",5
"273","CeciliAbishalu",5
"274","chulaaaaa___",5
"275","courtchauncey",5
"276","CristaDougherty",5
"277","CurrentSocials",5
"278","DamnIndifferent",5
"279","DaTechBot",5
"280","District825",5
"281","dTqjwIO0xhEwVi8",5
"282","DwikiSat",5
"283","EatatState",5
"284","ElPincheInsane",5
"285","exEXCrash49EXex",5
"286","fasciination",5
"287","fashazmi",5
"288","ffact537",5
"289","FitnessWorldAbs",5
"290","flashnewsportal",5
"291","giveawaybufff",5
"292","GretaBrinkley",5
"293","Hananihudaa",5
"294","HargaRuntuh",5
"295","Harley_Woody",5
"296","iamnurz__",5
"297","InspacePapa",5
"298","ipxulinx_",5
"299","itgrrrlofsfbay",5
"300","jennergdrhills",5
"301","Jordanevans_97",5
"302","joy_christian1",5
"303","just_Coffee_fan",5
"304","KandiMSiegel",5
"305","kellyblaus",5
"306","kerrymflynn",5
"307","kimi_ieka",5
"308","Kim_So_Kray",5
"309","kxdoublet",5
"310","LilyGG2",5
